City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,saint francis,35.0168,-90.7668,69.6,89,100,23.24,US,1743652780
130,markovo,57.3206,107.0881,25.61,66,100,8.34,RU,1743652781
131,port mathurin,-19.6833,63.4167,79.83,67,44,12.17,MU,1743652782
132,marechal deodoro,-9.7103,-35.895,76.41,85,100,3.8,BR,1743652783
133,rio grande,-32.035,-52.0986,68.43,93,100,6.85,BR,1743652784
134,port alfred,-33.5906,26.891,62.46,79,0,1.86,ZA,1743652785
135,kadnikov,59.5022,40.338,36.19,81,85,10.16,RU,1743652786
136,fayetteville,35.0527,-78.8784,72.12,85,100,10.36,US,1743652570
137,altai,46.3722,96.2583,29.39,37,14,6.24,MN,1743652789
138,sabirabad,40.0095,48.4752,61.7,69,56,13.85,AZ,1743652790
139,uturoa,-16.7333,-151.4333,82.83,76,17,11.86,PF,1743652791
140,dudinka,69.4058,86.1778,1.96,94,99,9.53,RU,1743652792
141,petropavlovsk-kamchatsky,53.0452,158.6483,39.79,38,20,6.71,RU,1743652544
142,launceston,-41.45,147.1667,69.44,40,100,5.75,AU,1743652794
143,fale old settlement,-9.3852,-171.2468,84.34,73,82,8.7,TK,1743652796
144,puerto ayora,-0.7393,-90.3518,76.55,100,100,3.31,EC,1743652797
145,joniskis,56.2403,23.6153,39.25,89,65,6.4,LT,1743652799
146,trelew,-43.249,-65.3051,43.07,81,75,14.97,AR,1743652578
147,liuli,-11.0833,34.6333,74.66,83,100,3.38,TZ,1743652802
148,port augusta,-32.5,137.7667,73.63,47,49,13.94,AU,1743652518
149,mahina,-17.5065,-149.489,85.77,66,0,11.5,PF,1743652804
150,karatau,43.1667,70.4667,58.14,47,73,4.21,KZ,1743652805
151,kapshagay,43.8833,77.0833,54.41,57,0,10.04,KZ,1743652806
152,bafoulabe,13.8065,-10.8321,88.18,20,81,1.81,ML,1743652808
153,alaghsas,17.0187,8.0168,72.0,8,32,10.58,NE,1743652809
154,acarau,-2.8856,-40.12,75.87,90,76,7.18,BR,1743652813
155,jalal-abad,40.9333,73.0,60.73,39,58,3.0,KG,1743652814
156,crucecita,-28.95,-58.9833,65.03,96,100,1.95,AR,1743652815
157,howrah,22.5892,88.3103,86.0,74,40,4.61,IN,1743652816
